Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Genero,Pais,Provincia,Canton
ASALTO,GOLPES,06/27/19,00:00:00 - 02:59:59,VEHICULO,FURGON O CONTENEDOR [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,LIMON,LIMON 
ASALTO,GOLPES,07/01/19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,07/02/19,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,PUNTARENAS 
ASALTO,GOLPES,07/03/19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,SAN JOSE,TIBAS 
ASALTO,GOLPES,07/08/19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,07/11/19,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,07/15/19,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,GOICOECHEA 
ASALTO,GOLPES,07/18/19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,TIBAS 
ASALTO,GOLPES,07/19/19,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,COSTA RICA,LIMON,MATINA 
ASALTO,GOLPES,07/19/19,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,07/20/19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,CORREDORES 
ASALTO,GOLPES,07/31/19,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,08/12/19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Menor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA 
ASALTO,GOLPES,08/13/19,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,PALMARES 
ASALTO,GOLPES,08/24/19,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,08/26/19,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,08/27/19,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,GOICOECHEA 
ASALTO,GOLPES,08/27/19,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,ALAJUELA,UPALA 
ASALTO,GOLPES,08/27/19,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,08/25/19,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,09/01/19,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,PEREZ ZELEDON 
ASALTO,GOLPES,09/01/19,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,09/08/19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS 
ASALTO,GOLPES,09/17/19,15:00:00 - 17:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,09/17/19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,09/24/19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,09/27/19,18:00:00 - 20:59:59,PERSONA,USUARIO CAJERO AUTOMATICO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,ESCAZU 
ASALTO,GOLPES,09/27/19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,CURRIDABAT 
ASALTO,GOLPES,09/27/19,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,ALAJUELA,ALAJUELA 
ASALTO,GOLPES,10/01/19,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA 
ASALTO,GOLPES,10/08/19,18:00:00 - 20:59:59,PERSONA,ESTUDIANTE [PERSONA],Mayor de edad,MUJER,COSTA RICA,LIMON,LIMON 
ASALTO,GOLPES,10/09/19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,GUANACASTE,LIBERIA 
ASALTO,GOLPES,10/11/19,21:00:00 - 23:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,10/10/19,18:00:00 - 20:59:59,PERSONA,PASAJERO DE TRANSPORTE PUBLICO [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,10/12/19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Menor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA 
ASALTO,GOLPES,09/01/19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,10/17/19,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,LIMON,LIMON 
ASALTO,GOLPES,10/16/19,21:00:00 - 23:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,LIMON,LIMON 
ASALTO,GOLPES,10/20/19,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,10/06/19,21:00:00 - 23:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,CARTAGO 
ASALTO,GOLPES,10/04/19,18:00:00 - 20:59:59,VEHICULO,AUTOMOVIL [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE 
ASALTO,GOLPES,10/22/19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,HEREDIA,HEREDIA 
ASALTO,GOLPES,10/26/19,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,ALAJUELA,SAN RAMON 
ASALTO,GOLPES,11/03/19,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,ALAJUELA,LOS CHILES 
